date,data_type,source,ingested_at,obs_tmax_c,obs_tmin_c,obs_precip_mm,fc_tmax_c,fc_tmin_c,fc_precip_mm
2025-09-01,historical,ECCC,2025-10-03 13:48:35,25.7,4.8,0.0,,,
2025-09-02,historical,ECCC,2025-10-03 13:48:35,24.5,7.8,0.0,,,
2025-09-03,historical,ECCC,2025-10-03 13:48:35,25.0,5.7,0.0,,,
2025-09-04,historical,ECCC,2025-10-03 13:48:35,15.0,1.4,12.5,,,
2025-09-05,historical,ECCC,2025-10-03 13:48:35,18.6,0.8,17.0,,,
2025-09-06,historical,ECCC,2025-10-03 13:48:35,15.2,6.9,0.0,,,
2025-09-07,historical,ECCC,2025-10-03 13:48:35,15.4,4.5,0.4,,,
2025-09-08,historical,ECCC,2025-10-03 13:48:35,16.3,0.1,0.0,,,
2025-09-09,historical,ECCC,2025-10-03 13:48:35,20.1,-0.7,0.0,,,
2025-09-10,historical,ECCC,2025-10-03 13:48:35,22.8,1.7,0.0,,,
2025-09-11,historical,ECCC,2025-10-03 13:48:35,20.1,3.4,0.0,,,
2025-09-12,historical,ECCC,2025-10-03 13:48:35,20.6,-0.5,0.0,,,
2025-09-13,historical,ECCC,2025-10-03 13:48:35,22.8,10.0,0.7,,,
2025-09-14,historical,ECCC,2025-10-03 13:48:35,21.3,6.0,0.0,,,
2025-09-15,historical,ECCC,2025-10-03 13:48:35,23.1,3.0,0.0,,,
2025-09-16,historical,ECCC,2025-10-03 13:48:35,25.3,3.1,0.0,,,
2025-09-17,historical,ECCC,2025-10-03 13:48:35,26.3,4.1,0.0,,,
2025-09-18,historical,ECCC,2025-10-03 13:48:35,22.9,6.9,0.0,,,
2025-09-19,historical,ECCC,2025-10-03 13:48:35,17.1,-0.2,0.0,,,
2025-09-20,historical,ECCC,2025-10-03 13:48:35,17.5,-2.7,0.0,,,
2025-09-21,historical,ECCC,2025-10-03 13:48:35,24.6,-3.3,1.1,,,
2025-09-22,historical,ECCC,2025-10-03 13:48:35,20.5,14.2,1.5,,,
2025-09-23,historical,ECCC,2025-10-03 13:48:36,20.7,15.0,16.4,21.3,14.9,0.1
2025-09-24,historical,ECCC,2025-10-03 13:48:36,21.1,13.3,13.4,20.7,15.4,20.0
2025-09-25,historical,ECCC,2025-10-03 13:48:36,17.6,11.8,0.0,18.0,13.1,0.0
2025-09-26,historical,ECCC,2025-10-03 13:48:36,19.3,11.8,0.0,17.2,10.7,0.1
2025-09-27,historical,ECCC,2025-10-03 13:48:36,21.6,7.9,0.0,21.2,9.1,0.0
2025-09-28,historical,ECCC,2025-10-03 13:48:36,22.4,5.4,0.0,21.0,9.5,0.0
2025-09-29,historical,ECCC,2025-10-03 13:48:36,24.7,2.4,0.0,23.3,5.2,0.0
2025-09-30,historical,ECCC,2025-10-03 13:48:36,19.1,2.3,0.0,18.8,6.7,0.0
2025-10-01,forecast,OpenMeteo,,,,,16.5,1.5,0.0
2025-10-02,forecast,OpenMeteo,,,,,19.4,0.7,0.0
2025-10-03,forecast,OpenMeteo,,,,,22.7,2.0,0.0
2025-10-04,forecast,OpenMeteo,,,,,25.7,9.8,0.0
2025-10-05,forecast,OpenMeteo,,,,,27.4,12.5,0.0
2025-10-06,forecast,OpenMeteo,,,,,26.5,13.3,0.2
2025-10-07,forecast,OpenMeteo,,,,,17.4,7.3,5.5
2025-10-08,forecast,OpenMeteo,,,,,10.0,1.2,0.0
2025-10-09,forecast,OpenMeteo,,,,,12.4,-1.4,0.0
2025-10-10,forecast,OpenMeteo,,,,,14.2,-0.2,0.0
2025-10-11,forecast,OpenMeteo,,,,,9.7,0.9,0.0
2025-10-12,forecast,OpenMeteo,,,,,11.8,-1.3,0.0
2025-10-13,forecast,OpenMeteo,,,,,8.6,4.2,1.5
2025-10-14,forecast,OpenMeteo,,,,,6.7,3.3,0.9
2025-10-15,forecast,OpenMeteo,,,,,11.5,2.5,0.0
2025-10-16,forecast,OpenMeteo,,,,,15.3,2.3,0.0
2025-10-17,forecast,OpenMeteo,,,,,15.4,5.7,0.6
2025-10-18,forecast,OpenMeteo,,,,,13.8,2.0,3.0
